"Source:","/home/drew/src/MuscleNN/uMyo_v3_1_pcb/uMyo_v3_1/uMyo_v3_1.kicad_sch"
"Date:","Mon 17 Mar 2025 04:18:11 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","53"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"AE1, ","1","Antenna","Antenna","ultimate_library:KH3216-A55","Antenna symbol",""
"C1, C4, C6, C9, C16, C18, ","6","100 nF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C2, C5, C13, C14, C15, C17, ","6","2.2 uF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C3, ","1","100 pF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C7, ","1","39 nF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C8, ","1","0.8 pF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C10, C12, ","2","12 pF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C11, ","1","680 pF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"D1, ","1","LED_BGRA","LED_BGRA","ultimate_library:LED_RGB_0603_a4","LED RGB, common anode",""
"D3, ","1","D","D","Diode_SMD:D_SOD-323","Diode",""
"F1, ","1","Fuse","Fuse","Fuse:Fuse_0603_1608Metric","Fuse, generic",""
"J1, J2, ","2","Conn_01x01_Male","Conn_01x01_Male","ultimate_library:uMyo_dry_connector","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, J5, ","2","Conn_01x01_Male","Conn_01x01_Male","ultimate_library:conn_16_20","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, J7, ","2","Conn_01x02_Female","Conn_01x02_Female","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1","10 uH","L","Inductor_SMD:L_0603_1608Metric","Inductor",""
"L2, ","1","15 nH","L","Inductor_SMD:L_0402_1005Metric","Inductor",""
"L3, ","1","5.1 nH","L","Inductor_SMD:L_0402_1005Metric","Inductor",""
"R1, R10, ","2","200k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R2, R3, R5, ","3","2k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R4, R7, R11, ","3","100k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R6, ","1","22k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R12, R13, ","2","4.7M","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R14, ","1","10k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"SC1, ","1","SWD_POGO","SWD_POGO","ultimate_library:SWD_POGO","",""
"SW1, ","1","SW_Push","SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","Push button switch, generic, two pins",""
"U1, ","1","AD8293G80ARJZ-R2","AD8293G80ARJZ-R2","Package_TO_SOT_SMD:SOT-23-8","",""
"U2, ","1","nRF52810-QFxx","nRF52832-QFxx","ultimate_library:QFN-48-1EP_6x6mm_Pitch0.4mm","",""
"U3, ","1","XC6206P332MR_SOT23","MCP1703A-3302_SOT23-Regulator_Linear","Package_TO_SOT_SMD:SOT-23","",""
"U4, ","1","MT9700","MT9700","Package_TO_SOT_SMD:SOT-23-5","",""
"U5, ","1","74AHC1G32","74AHC1G32","Package_TO_SOT_SMD:SOT-23-5","Single OR Gate, Low-Voltage CMOS",""
"U6, ","1","QMC5883L","QMC5883L","Package_LGA:LGA-16_3x3mm_P0.5mm","",""
"U7, ","1","LSM6DS3","LSM6DS3","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","I2C/SPI, iNEMO inertial module: always-on 3D accelerometer and 3D gyroscope",""
"Y1, ","1","32MHz","Crystal_GND24","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","Four pin crystal (GND on pins 2 and 4), e.g. in SMD package",""
